ElementName,DataType,Size,Required,ElementDescription,ValueRange,Notes,Aliases
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,,
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,,
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,Required field,
interview_age,Integer,,Required,Age in years at the time of the interview/test/sampling/imaging.,,,
sex,String,20,Required,"Sex of the subject, assgined at birth",M;F,M = Male; F = Female,
rt,Float,,Recommended,Reaction time of each response.,,,
stimulus,String,,Recommended,Reflects html that contains the instructions and stimuli that is displayed on the screen throughout the experiment ,,,
key_press,Float,,Recommended,The keyboard key pressed for each response,32;49,32 = spacebar; 49 = 1 key,
trial_type,String,,Recommended,Reflects the jsPsych plugin used to disply stimuli and collect responses throughout the experiment.,,,
trial_index,Float,,Recommended,Reflects the index of each object displayed in the experiment. ,,,
time_elapsed,Float,,Recommended,Reflects the time elasped at the onset of each object.,,,
internal_node_id,String,,Recommended,A string identifier for the current timeline node.,,,
test_part,String,,Recommended,Reflects if the block is practice or the experiment.,dominant;non-dominant,Handedness,
tap_number,Float,,Recommended,Reflects the number of responses within each block.,,,
block,Float,,Recommended,Reflects the current block index.,1 to 6; -1,The practice block is denoted using -1.,
trial,Float,,Recommended,Reflects the trial number across the experimental blocks.,,,
site,Float,,Recommended,Site ID for where data was collected.,,,
